source_id;source_name;schema_table;media_source_id;media_source_name;feeds_id;feeds_name
5888;agriculture;core_keyword_ids;6;TMDB;21;Simulation & Real Life
9951;alien;core_keyword_ids;6;TMDB;4;Sci-Fi & Space
3;aliens;core_keywords;1;IGDB;4;Sci-Fi & Space
579;american football;core_keyword_ids;6;TMDB;11;Sports & Competition
32;american football;core_keywords;1;IGDB;11;Sports & Competition
421;ancient egypt;core_keywords;1;IGDB;10;History & War
34;ancient greece;core_keywords;1;IGDB;10;History & War
3711;animal species;core_keyword_ids;6;TMDB;15;Animals & Nature
153;animals;core_keywords;1;IGDB;15;Animals & Nature
701;archery;core_keywords;1;IGDB;11;Sports & Competition
310;artificial intelligence (a.i.);core_keyword_ids;6;TMDB;4;Sci-Fi & Space
11695;automobile;core_keyword_ids;6;TMDB;13;Cars & Racing
10040;automotive;core_keyword_ids;6;TMDB;13;Cars & Racing
1009;baby;core_keyword_ids;6;TMDB;20;Kids & Family
759;baking;core_keywords;1;IGDB;14;Food & Cooking
5731;barbecue (bbq);core_keyword_ids;6;TMDB;14;Food & Cooking
1480;baseball;core_keyword_ids;6;TMDB;11;Sports & Competition
20;baseball;core_keywords;1;IGDB;11;Sports & Competition
15101;based on children's book;core_keyword_ids;6;TMDB;20;Kids & Family
6496;basketball;core_keyword_ids;6;TMDB;11;Sports & Competition
58;basketball;core_keywords;1;IGDB;11;Sports & Competition
14643;battle;core_keyword_ids;6;TMDB;1;Action & Combat
4933;battle for power;core_keyword_ids;6;TMDB;22;Strategy & Tactics
9928;bereavement;core_keyword_ids;6;TMDB;9;Drama & Emotional
6016;biology;core_keyword_ids;6;TMDB;16;Education & Knowledge
5732;birthday party;core_keyword_ids;6;TMDB;25;Social & Party
299;bowling;core_keywords;1;IGDB;11;Sports & Competition
632;boxing;core_keywords;1;IGDB;11;Sports & Competition
830;car race;core_keyword_ids;6;TMDB;13;Cars & Racing
155;cars;core_keywords;1;IGDB;13;Cars & Racing
11085;castaway;core_keyword_ids;6;TMDB;2;Adventure & Exploration
11085;castaway;core_keyword_ids;6;TMDB;24;Survival & Crafting
18293;chef;core_keyword_ids;6;TMDB;14;Food & Cooking
380;chess;core_keywords;1;IGDB;23;Puzzle & Brain Games
3650;child hero;core_keyword_ids;6;TMDB;20;Kids & Family
4098;civil rights;core_keyword_ids;6;TMDB;17;Politics & Society
393;civil war;core_keyword_ids;6;TMDB;10;History & War
6098;clothing;core_keyword_ids;6;TMDB;19;Fashion & Beauty
9;Co-op;steam_categories;5;Steam;25;Social & Party
2106;cold war;core_keyword_ids;6;TMDB;10;History & War
8;cold war;core_keywords;1;IGDB;10;History & War
10683;coming of age;core_keyword_ids;6;TMDB;9;Drama & Emotional
15248;commando;core_keyword_ids;6;TMDB;1;Action & Combat
271;competition;core_keyword_ids;6;TMDB;11;Sports & Competition
286;competitive;core_keywords;1;IGDB;11;Sports & Competition
8469;computer simulation;core_keyword_ids;6;TMDB;21;Simulation & Real Life
4850;computer war;core_keyword_ids;6;TMDB;22;Strategy & Tactics
6029;concert;core_keyword_ids;6;TMDB;12;Music & Performance
11836;contest;core_keyword_ids;6;TMDB;11;Sports & Competition
1918;cooking;core_keyword_ids;6;TMDB;14;Food & Cooking
758;cooking;core_keywords;1;IGDB;14;Food & Cooking
1634;couch co-op;core_keywords;1;IGDB;25;Social & Party
510;crafting;core_keywords;1;IGDB;24;Survival & Crafting
1669;crime;core_keywords;1;IGDB;6;Mystery & Crime
244;crime solving;core_keywords;1;IGDB;6;Mystery & Crime
106;cybernetics;core_keywords;1;IGDB;4;Sci-Fi & Space
12190;cyberpunk;core_keyword_ids;6;TMDB;4;Sci-Fi & Space
103;cyberpunk;core_keywords;1;IGDB;4;Sci-Fi & Space
10123;dark comedy;core_keyword_ids;6;TMDB;8;Comedy & Humor
537;dark fantasy;core_keywords;1;IGDB;3;Fantasy & Magic
13043;dating;core_keyword_ids;6;TMDB;7;Romance & Relationships
358;dating;core_keywords;1;IGDB;7;Romance & Relationships
175;demon;core_keywords;1;IGDB;5;Horror & Supernatural
703;detective;core_keyword_ids;6;TMDB;6;Mystery & Crime
215;detective;core_keywords;1;IGDB;6;Mystery & Crime
87;dinosaurs;core_keywords;1;IGDB;15;Animals & Nature
159;disease;core_keywords;1;IGDB;18;Health & Wellness
12554;dragon;core_keyword_ids;6;TMDB;3;Fantasy & Magic
332;dragons;core_keywords;1;IGDB;3;Fantasy & Magic
429;dystopian;core_keywords;1;IGDB;4;Sci-Fi & Space
3681;economy;core_keyword_ids;6;TMDB;17;Politics & Society
2470;education;core_keyword_ids;6;TMDB;16;Education & Knowledge
18257;educational;core_keyword_ids;6;TMDB;16;Education & Knowledge
6085;election campaign;core_keyword_ids;6;TMDB;17;Politics & Society
33577;environment;core_keyword_ids;6;TMDB;15;Animals & Nature
1655;esports;core_keywords;1;IGDB;11;Sports & Competition
33611;exercise;core_keyword_ids;6;TMDB;18;Health & Wellness
642;exercise;core_keywords;1;IGDB;18;Health & Wellness
1963;expedition;core_keyword_ids;6;TMDB;2;Adventure & Exploration
4759;exploration;core_keyword_ids;6;TMDB;2;Adventure & Exploration
72;exploration;core_keywords;1;IGDB;2;Adventure & Exploration
3205;fairy tale;core_keyword_ids;6;TMDB;3;Fantasy & Magic
18035;family;core_keyword_ids;6;TMDB;20;Kids & Family
10235;family relationships;core_keyword_ids;6;TMDB;7;Romance & Relationships
4932;farm;core_keyword_ids;6;TMDB;21;Simulation & Real Life
15479;fashion;core_keyword_ids;6;TMDB;19;Fashion & Beauty
793;fashion;core_keywords;1;IGDB;19;Fashion & Beauty
7024;fashion designer;core_keyword_ids;6;TMDB;19;Fashion & Beauty
3486;fashion journal;core_keyword_ids;6;TMDB;19;Fashion & Beauty
6805;fashion photographer;core_keyword_ids;6;TMDB;19;Fashion & Beauty
1721;fight;core_keyword_ids;6;TMDB;1;Action & Combat
14955;fighting;core_keyword_ids;6;TMDB;1;Action & Combat
453;first person shooter;core_keywords;1;IGDB;1;Action & Combat
509;fishing;core_keywords;1;IGDB;15;Animals & Nature
777;fitness;core_keywords;1;IGDB;18;Health & Wellness
56;flight simulator;core_keywords;1;IGDB;21;Simulation & Real Life
10637;food;core_keyword_ids;6;TMDB;14;Food & Cooking
